Gene.symbol	Gene.ID	adj.P.Val	logFC
CKAP5	9793	2.25096382582363e-32	2.15744858648077
PKMYT1	9088	3.02836082677334e-32	1.75379879563043
STK4	6789	3.02836082677334e-32	-1.3943086211012
RBBP8	5932	3.74175302522724e-32	2.50312999152977
TRIM28	10155	3.94205985133534e-32	1.13517324186537
MAD2L1	4085	3.96403870059142e-32	3.34105528899499
NCAPD3	23310	4.01462086249399e-32	2.04277223471268
EPDR1	54749	4.0862858570144e-32	2.35128974410746
CDKN3	1033	4.35759265558103e-32	3.24272070689004
POLA1	5422	4.70553343519281e-32	2.53234131487252
NDC80	10403	5.23481126717893e-32	2.9089512187302
IRF9	10379	5.99881778132606e-32	-2.1826885734511
C17orf53	78995	7.57231017881438e-32	1.3794163310624
MTHFD1L	25902	8.04071604756302e-32	1.90927138370356
MCM3	4172	8.71890030631163e-32	2.456294719688
ZBTB38	253461	1.63604666959419e-31	-3.7206604030708
POLD1	5424	1.78128725084529e-31	1.48420161769015
CDC25C	995	1.85837533741689e-31	2.35999032792937
TMEM97	27346	2.56124970582671e-31	2.40728207529323
RCC1///SNHG3///RCC1	1104///8420///1104	3.8060710209805e-31	1.95753800663453
CENPJ	55835	4.06098429322905e-31	2.04442578810424
LFNG	3955	4.20781622279177e-31	-1.98116925810263
HIST1H3H///HIST1H2AI	8357///8329	5.34578350084196e-31	3.10280000767835
KIF24	347240	6.71742906001857e-31	1.77336818380118
KIF4B///KIF4A	285643///24137	8.81413408888513e-31	2.16669050525729
WDR62	284403	9.82101479114585e-31	1.39066604876596
DEDD2	162989	9.83864497099771e-31	-1.59612413615555
WEE1	7465	9.88875605720156e-31	2.85542648026283
ANKRD44	91526	9.91574320844958e-31	-2.87234787677919
SLC35F6///CENPA	54978///1058	9.96149090265366e-31	2.34007731329769
DYRK3	8444	1.1260050767932e-30	2.46648509458591
MSL3	10943	1.32709452318677e-30	-1.30922937907134
PARP2	10038	1.33977575368491e-30	2.06963845439102
AHCY	191	1.52970774637858e-30	1.93974933028089
SYNE1	23345	1.52970774637858e-30	-2.21270530376202
CDK4	1019	1.74590423966168e-30	2.01949476341409
RGS14	10636	1.76821922288893e-30	-1.44553759496424
MVP	9961	1.78483455023256e-30	-1.90219041388128
LINC01599	196913	1.88356764165241e-30	-1.56007120047184
OVOS///OVOS2	408186///144203	2.04326521251594e-30	3.2527639582884
AUNIP	79000	2.13870037708075e-30	2.00845371045414
CCDC150	284992	2.16019621884351e-30	1.82419510426283
DUT	1854	2.64368721380484e-30	1.76838637887841
BLM	641	2.92099133142415e-30	2.43476424149097
GLTSCR1L	23506	2.92099133142415e-30	-1.47572652779206
TCF19	6941	3.2325863022069e-30	2.29430061255247
TNFSF12-TNFSF13///TNFSF12///TNFSF13	407977///8742///8741	3.8335971110071e-30	-1.46675171094457
MAP3K14	9020	4.07111133716274e-30	-1.19308881490488
C21orf58	54058	4.20463787054526e-30	1.25200598711568
NFKB2	4791	5.15042886752974e-30	-1.68379597118505
AIM2	9447	5.22535128910927e-30	-3.27969040397336
TTC12	54970	6.00679722252356e-30	-2.02278728828947
TPRG1L	127262	7.16770199631947e-30	-1.45421418297282
TRAIP	10293	7.60137085798096e-30	1.52208501127231
FAM72A///FAM72D///FAM72B	729533///728833///653820	7.80119346681903e-30	3.53219628882335
ECE1	1889	9.30944023892917e-30	-3.00426166163901
TTC22	55001	1.48051423256423e-29	-1.20525022405167
NME1-NME2///NME1	654364///4830	1.6317606792403e-29	3.02488539705292
MSH5-SAPCD1///MSH5	100532732///4439	1.74481964676148e-29	2.14615083103898
DNAJB9	4189	2.54914982036256e-29	-1.53974663996478
		2.69687905519987e-29	1.82595950528894
TTF2	8458	2.80166859841962e-29	1.90105981662918
LOC100288637///OTUD7A	100288637///161725	2.90355391261719e-29	1.90829749615305
SCML2	10389	2.96286668663893e-29	3.28276758124138
MYL6B	140465	3.61353737140472e-29	1.36791070589594
KIAA1551	55196	3.67324493273535e-29	-2.31487183063597
C16orf54	283897	3.71832022776075e-29	-2.04402121237314
PCF11	51585	4.03961956529754e-29	-0.992479857321651
SP140	11262	5.08485152150958e-29	-3.13922295202646
ZNF641	121274	5.55267754093251e-29	-1.86165628435652
ZGRF1	55345	5.89305747664439e-29	2.28210969266136
HMGB2	3148	6.13222364225154e-29	1.95660481042589
PSMD14	10213	6.24404683679634e-29	2.41220538271106
CDKN2C	1031	7.74158714661487e-29	1.8841967472546
BTN3A1	11119	8.50825187382922e-29	-2.20762208640193
SYS1-DBNDD2///SYS1	767557///90196	9.22161645034844e-29	-1.11521286990434
ZGRF1	55345	9.63180522354864e-29	2.10560076771429
BYSL	705	9.6875866675311e-29	2.1584439445371
SKA1	220134	9.74457281228245e-29	2.59303266711532
		9.75012204336934e-29	-1.66307998627105
HIST1H2AB	8335	1.22330335783719e-28	3.40913323964116
PFAS	5198	1.25417021062884e-28	1.44202107661559
TRMO	51531	1.25839941878182e-28	-1.41060676001001
SGO1	151648	1.65430466559658e-28	2.81479745309619
PTTG1	9232	1.70972343534122e-28	2.4334767169916
PSMB2	5690	1.81821945433758e-28	1.15378619575542
		2.11214017111453e-28	1.09700115322796
ZWILCH	55055	2.17095450249224e-28	1.91308536309423
CFAP20	29105	2.80569655442808e-28	1.25861818059699
CDKN1B	1027	3.42088192464922e-28	-1.55271085374021
CCNE1	898	4.17234741245206e-28	2.00089558222654
CDC7	8317	4.24953562388796e-28	2.60820988995673
SKA3	221150	4.3462151108916e-28	2.90426037140568
SOX4	6659	4.59121330145873e-28	2.34237370042732
TIRAP	114609	5.31009241186297e-28	-1.42999191804756
USP49	25862	5.32884053037359e-28	1.41577938103647
C19orf48	84798	6.86835494036123e-28	1.63813745394225
HPRT1	3251	7.39798236794058e-28	1.61919352229268
BAHCC1	57597	9.32944685656724e-28	1.68302583229823
CTCFL///SP100///HMGB1	140690///6672///3146	9.80094154075543e-28	1.03487670418881
		1.04248074697912e-27	1.25351434967835
RAB11FIP4	84440	1.05825536462577e-27	-1.8943848396138
E2F2	1870	1.07996986337202e-27	2.24057145731951
LOC642846///DDX12P///DDX11	642846///440081///1663	1.20157010951002e-27	2.01336671271536
RCC2	55920	1.39431417704755e-27	1.35297261906776
SUGP2	10147	1.46567757173036e-27	1.184926899565
FOXRED2	80020	1.55043733822903e-27	1.55604358975094
ADAM8	101	1.57565834704018e-27	-2.18221221543144
LRP5	4041	1.59650845687592e-27	1.62891284969248
AMOTL1	154810	1.62557187579688e-27	2.35609565504344
TCP1	6950	1.67902346764571e-27	1.48383399190917
PRDM1	639	1.93229968153606e-27	-3.19299721369319
MNS1	55329	2.17506080496601e-27	2.28928681784105
NADK2	133686	2.26357627897754e-27	1.90600518283444
NUP93	9688	2.40821827794192e-27	1.10237611963597
WDR76	79968	2.43474761777538e-27	2.25169133972466
INTS7	25896	2.45305305893551e-27	1.98112556055409
CENPN	55839	3.1403927538519e-27	2.28744422181531
LOC728392///NLRP1	728392///22861	3.5813872302613e-27	-2.5046057648398
BCL2A1	597	3.5813872302613e-27	-2.99696706418076
TMEM140	55281	3.76467587998317e-27	-2.67441759659842
EME1	146956	3.86573396176935e-27	1.84128242777615
KCNQ1	3784	3.99671750407145e-27	-1.66421359379992
MINK1	50488	4.43489500915319e-27	-1.28905445859879
